Symbol,Company Name,Current Price,PE,Market Capital,FFMC,Outstanding Shares,Basic Industry,Industry,Macro,Sectoral Index,Sectoral PE,Status
63MOONS,63 moons technologies limited,205.45,53.91,94668.35,51257.7645588,46078537,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
ASALCBR,Associated Alcohols & Breweries Ltd.,373,NA,67435.42,27641.108088,18079200,Breweries & Distilleries,Breweries & Distilleries,Fast Moving Consumer Goods,NA,NA,Active
BCLIND,Bcl Industries Limited,449,NA,108433.5,42072.4395,24150000,Edible Oil,Edible Oil,Fast Moving Consumer Goods,NA,NA,Active
APEX,Apex Frozen Foods Limited,220.8,18.14,69000,18419.0625,31250000,Seafood,Seafood,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
ORIENTBELL,Orient Bell Limited,526,23.13,76065.26,26407.7324105,14461076,Ceramics,Ceramics,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
TEXINFRA,Texmaco Infrastructure & Holdings Limited,51.8,183.34,66006.97,22611.8483955,127426590,Residential Commercial Projects,Residential Commercial Projects,Consumer Discretionary,NIFTY INFRASTRUCTURE                              ,21.24,Active
ZOTA,Zota Health Care LImited,297,NA,74726.17,21681.534387300002,25160327,Pharmaceuticals,Pharmaceuticals,Healthcare,NA,NA,Active
PENIND,Pennar Industries Limited,74.15,23.07,100062.63,60118.545910500005,134946231,Industrial Products,Industrial Products,Industrials,NIFTY METAL                                       ,12.23,Active
SATINDLTD,Sat Industries Limited,70.75,NA,80007.64,38485.0872,113085000,Iron & Steel Products,Iron & Steel Products,Industrials,NA,NA,Active
INDRAMEDCO,Indraprastha Medical Corporation Limited,83.5,9.14,76546.96,37508.00795,91673000,Hospital,Hospital,Healthcare,NIFTY PHARMA                                      ,31.02,Active
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,61.3,NA,59454.38,14839.3476,96989200,Fertilizers,Fertilizers,Commodities,NA,NA,Active
BLISSGVS,Bliss GVS Pharma Limited,79.15,9.38,82436.84,53617.795545600005,104152672,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
INDIANHUME,Indian Hume Pipe Company Limited,133.45,10.92,64652.75,19381.2903585,48447170,Industrial Products,Industrial Products,Industrials,NIFTY 500                                         ,21.73,Active
SHAKTIPUMP,Shakti Pumps (India) Limited,421.8,20.92,77527.5,34961.8137354,18380156,Compressors Pumps & Diesel Engines,Compressors Pumps & Diesel Engines,Industrials,NIFTY 500                                         ,21.73,Active
XCHANGING,Xchanging Solutions Limited,59.05,42.69,65783.89,16459.899039,111403716,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
VISAKAIND,Visaka Industries Limited,388,8.3,67050.09,34758.2156147,17280952,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY 500                                         ,21.73,Active
TFCILTD,Tourism Finance Corporation of India Limited,72.8,7.62,65791.14,49760.8773178,90372448,Financial Institution,Financial Institution,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
TRIL,Transformers And Rectifiers (India) Limited,60.9,25.3,80731.54,20116.6036925,132564110,Other Electrical Equipment,Other Electrical Equipment,Industrials,NIFTY 500                                         ,21.73,Active
RAMRAT,Ram Ratna Wires Limited,153,NA,67320,17669.08,44000000,Other Electrical Equipment,Other Electrical Equipment,Industrials,NA,NA,Active
ENIL,Entertainment Network (India) Limited,124.2,0,59206.66,17232.1399663,47670415,Media & Entertainment,Media & Entertainment,Consumer Discretionary,NIFTY MEDIA                                       ,0,Active
VASCONEQ,Vascon Engineers Limited,30.5,13,66281.72,31658.7567305,217317111,Civil Construction,Civil Construction,Industrials,NIFTY REALTY                                      ,38.26,Active
BLKASHYAP,B. L. Kashyap and Sons Limited,28.5,10.75,64250.4,21691.8368,225440000,Civil Construction,Civil Construction,Industrials,NIFTY REALTY                                      ,38.26,Active
ROTO,Roto Pumps Limited,582.2,NA,91427.55,28327.9368015,15703805,Compressors Pumps & Diesel Engines,Compressors Pumps & Diesel Engines,Industrials,NA,NA,Active
KOPRAN,Kopran Limited,113.1,17.86,54528.45,27252.172715300003,48212601,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
GFLLIMITED,GFL Limited,58.95,NA,64756.58,20006.43125,109850000,Holding Company,Holding Company,Financial Services,NA,NA,Active
RAJMET,Rajnandini Metal Limited,13.35,NA,36910.08,9158.4,276480000,Aluminium Copper & Zinc Products,Aluminium Copper & Zinc Products,Industrials,NA,NA,Active
ROHLTD,Royal Orchid Hotels Limited,240,34.42,65820.52,22955.5905854,27425215,Hotels & Resorts,Hotels & Resorts,Consumer Discretionary,NIFTY SERVICES SECTOR                             ,19.96,Active
LINCOLN,Lincoln Pharmaceuticals Limited,338.5,9.28,67800.63,33158.5136635,20029728,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
BHAGERIA,Bhageria Industries Limited,128,19.93,55864.55,16245.018458699999,43644180,Dyes And Pigments,Dyes And Pigments,Commodities,NIFTY 500                                         ,21.73,Active
CREATIVE,Creative Newtech Limited,441.55,NA,55635.3,16229.241,12600000,IT Enabled Services,IT Enabled Services,Information Technology,NA,NA,Active
JAYBARMARU,Jay Bharat Maruti Limited,144.8,16.83,62698.4,25697.4675,43300000,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
TALBROAUTO,Talbros Automotive Components Limited,439.2,13.2,54222.01,22757.6874294,12345630,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
SMSPHARMA,SMS Pharmaceuticals Limited,69.1,115.71,58494.55,20339.7665083,84652030,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
CHEVIOT,Cheviot Company Limited,1091.25,NA,65659.15,16493.7585938,6016875,Jute & Jute Products,Jute & Jute Products,Commodities,NA,NA,Active
KANORICHEM,Kanoria Chemicals & Industries Limited,122.65,33.14,53589.87,13939.0470937,43693333,Commodity Chemicals,Commodity Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
DECCANCE,Deccan Cements Limited,451.5,11.67,63243.86,27845.7894,14007500,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
FAZE3Q,Faze Three Limited,279.85,NA,68056.72,32781.76881,24319000,Other Textile Products,Other Textile Products,Consumer Discretionary,NA,NA,Active
ZUARI,Zuari Agro Chemicals Limited,141.3,0,59427.96,20829.227471500002,42058006,Fertilizers,Fertilizers,Commodities,NIFTY 500                                         ,21.73,Active
3IINFOLTD,3i Infotech Limited,33.55,NA,56513.67,50997.2497835,168446117,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NA,NA,Active
HPAL,HP Adhesives Limited,341.25,NA,62704.51,15823.1262354,18374947,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
BETA,Beta Drugs Limited,679,NA,65277.63,21541.619253,9613790,Pharmaceuticals,Pharmaceuticals,Healthcare,NA,NA,Active
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,19.8,11.14,50848.21,17841.816321500002,256809159,Investment Company,Investment Company,Financial Services,NIFTY 500                                         ,21.73,Active
SUMMITSEC,Summit Securities Limited,612.9,34.16,66817.02,16509.3846019,10901781,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
HERCULES,Hercules Hoists Limited,208.1,41.98,66592,16684,32000000,Industrial Products,Industrial Products,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
CLSEL,Chaman Lal Setia Exports Limited,181,NA,93637.73,24110.4209775,51733550,Other Agricultural Products,Other Agricultural Products,Fast Moving Consumer Goods,NA,NA,Active
PARACABLES,Paramount Communications Limited,36.05,18,70003.32,26564.366412,194183965,Cables - Electricals,Cables - Electricals,Industrials,NIFTY 500                                         ,21.73,Active
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,251.7,NA,62773.81,28726.812426700002,24939933,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
ONWARDTEC,Onward Technologies Limited,278.9,54.97,62076.64,21525.500699499997,22257670,IT Enabled Services,IT Enabled Services,Information Technology,NIFTY IT                                          ,26.74,Active
DHARMAJ,Dharmaj Crop Guard Limited,170.9,NA,57759.58,12718.2604578,33797296,Pesticides & Agrochemicals,Pesticides & Agrochemicals,Commodities,NA,NA,Active
BHARATWIRE,Bharat Wire Ropes Limited,107,12.39,68939.11,33028.9225459,64429078,Iron & Steel Products,Iron & Steel Products,Industrials,NIFTY 500                                         ,21.73,Active
ARIHANTCAP,Arihant Capital Markets Limited,43.5,NA,45289.07,11599.207048,104112800,Stockbroking & Allied,Stockbroking & Allied,Financial Services,NA,NA,Active
RML,Rane (Madras) Limited,454.2,29.03,73876.84,19946.7475328,16265267,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
